Customer_First,Customer_Last,Address,Email,2021_Visits,2021_Total_Spend,Pet_Type
Tyrese,Buckridge,2533 Ford Views,wcastro@yahoo.com,27,465.75,bird
Malvin,Keeling,5221 Christopher Landing Suite 898,udavis@hotmail.com,95,1638.75,fish
Litzy,Paucek,40306 Floyd Hollow,barbara42@gmail.com,6,103.5,cat
Victoriano,McClure,5123 Preston Plain,christopher91@yahoo.com,59,1017.75,dog
Virgil,Osinski,6981 Christina Summit Apt. 971,susanlopez@gmail.com,55,948.75,cat
Leesa,White,096 Jimenez Turnpike Apt. 451,kmassey@gmail.com,86,1483.5,cat
Maggie,Leffler,5089 Doyle Track Apt. 428,eric07@hotmail.com,82,1414.5,dog
Loni,Hauck,10609 Joanna Manor,sjohnson@hotmail.com,76,1311.0,turtle
Danyell,Smitham,4478 Alex Wells,monroedavid@gmail.com,95,1638.75,cat
Maxwell,Miller,8875 Curry Locks,dennis85@gmail.com,19,327.75,cat
Jeanetta,Bednar,8770 Heather Shores Apt. 087,alan24@yahoo.com,22,379.5,dog
Ines,Monahan,2529 Anthony Streets Suite 146,hoffmantimothy@yahoo.com,81,1397.25,cat
Grady,Wyman,5359 Wilson Trafficway Suite 562,garciaangela@yahoo.com,26,448.5,cat
Evans,Gibson,17263 Evans Cape,shealaura@hotmail.com,47,810.75,cat
Mckenzie,Gusikowski,23287 Smith Avenue,nancymorrison@gmail.com,98,1690.5,dog
Green,Frami,27042 Myers Dale,gschmitt@yahoo.com,30,517.5,cat
Consuela,Kunze,34500 Acevedo Plains,ycruz@gmail.com,26,448.5,turtle
Braulio,Daniel,68369 Harris Motorway Apt. 444,georgedavid@yahoo.com,10,172.5,dog
Dora,Walter,827 Juarez Radial Suite 343,kristine10@gmail.com,50,862.5,turtle
Terrence,Trantow,8959 Juan Courts,ujohnson@hotmail.com,13,224.25,fish
Lilyan,Corwin,1476 Fisher Keys Apt. 590,michelelopez@gmail.com,82,1414.5,cat
Charline,Reilly,38128 Reyes Passage Suite 762,callahancarolyn@yahoo.com,43,741.75,cat
Jamin,Kassulke,9429 Wright Circle Apt. 832,laurahill@hotmail.com,7,120.75,bird
Erasmus,Ankunding,32679 Jennifer Burgs Suite 508,fwelch@yahoo.com,83,1431.75,bird
Abe,Bayer,904 Teresa Locks Apt. 677,vwallace@yahoo.com,63,1086.75,cat
Layton,Towne,83592 Estrada Stravenue Suite 346,ericterry@yahoo.com,33,569.25,bird
Keagan,Murray,104 Walls Haven Apt. 324,parksjudy@hotmail.com,89,1535.25,dog
Emile,Leannon,6543 Daniel Pass,yroman@hotmail.com,27,465.75,bird
Troy,Durgan,660 Leon Islands,fcarpenter@yahoo.com,14,241.5,cat
Venita,Predovic,4618 Maria Run,jonathan80@gmail.com,3,51.75,cat
Edris,Daniel,4935 Laurie Parks,millercorey@gmail.com,55,948.75,fish
Trevon,Murray,0155 Merritt Bypass Apt. 329,qherrera@yahoo.com,40,690.0,bird
Marlin,O'Keefe,775 Diana Ford,jeffrey31@hotmail.com,64,1104.0,fish
Mat,Paucek,87709 Avila Junctions,charlotte27@gmail.com,3,51.75,cat
Trevor,Thompson,5849 Guerrero Row,matthewalexander@hotmail.com,89,1535.25,cat
Grisel,Wyman,087 Ryan Mill,larry56@yahoo.com,5,86.25,dog
Payten,Wyman,97112 Dustin Viaduct,christopheryoung@gmail.com,29,500.25,dog
Alfonzo,Labadie,568 Travis Ways,emily73@hotmail.com,51,879.75,bird
Lucinda,O'Kon,20098 Melton Curve,erin94@hotmail.com,2,34.5,dog
Garry,Hane,9251 Young Plain,connie57@yahoo.com,48,828.0,bird
Mellisa,Cassin,01773 Brandon Springs Apt. 178,rfischer@yahoo.com,39,672.75,fish
Minoru,Cartwright,88749 Caitlin Tunnel,hoffmanrobert@hotmail.com,10,172.5,cat
Charles,Kautzer,498 Bridges Crossing,qshepard@yahoo.com,44,759.0,cat
Tamala,Strosin,0637 Erin Rapid Apt. 653,michael13@hotmail.com,87,1500.75,cat
Carlene,Gutmann,23904 Moore Coves,patricialozano@hotmail.com,20,345.0,turtle
Shanell,Connelly,5431 Wood Light Suite 317,ctran@hotmail.com,48,828.0,fish
Siena,O'Reilly,3995 Johnson Stream Suite 439,ohunt@gmail.com,62,1069.5,dog
Jemima,Considine,526 Audrey Fork Suite 999,emily97@yahoo.com,72,1242.0,cat
Rosanna,Romaguera,12935 Brewer Causeway,copelandchristopher@yahoo.com,18,310.5,dog
Burnice,Gleason,7658 Gonzalez Keys,sherryvilla@yahoo.com,51,879.75,dog
Dolly,Smith,623 Kimberly Hollow,lhiggins@gmail.com,65,1121.25,dog
Paxton,Franecki,829 Gabriela Way,zjames@gmail.com,23,396.75,fish
Justice,Runte,4917 Micheal Extensions Suite 399,kmunoz@gmail.com,87,1500.75,cat
Sherman,Weber,0099 Christina Circle Suite 616,michaelanderson@hotmail.com,56,966.0,dog
Shaquita,Grant,2229 Hawkins Canyon Apt. 940,rachel58@yahoo.com,10,172.5,bird
Raquan,Weimann,3575 Delgado Keys,adamsjessica@gmail.com,70,1207.5,bird
Krystin,Roberts,674 Richard Villages Apt. 885,lbaker@gmail.com,27,465.75,bird
Dana,Mosciski,119 Robert Plaza,along@hotmail.com,84,1449.0,cat
Lani,Shanahan,99855 Megan Tunnel,monique03@gmail.com,4,69.0,dog
Mariam,Fay,625 Ashley Garden Apt. 848,tperez@yahoo.com,74,1276.5,cat
